ह हयडरogeन
हe हeलiuम
लi लiटhiuम
बe बeरयललiuम
ब बoरoन
c caरबoन
न नiटरogeन
o oxयgeन
फ फलuoरiनe
नe नeoन
नa सoडiuम
मg मagनeसiuम
अल अलuमiनuम
सi सiलicoन
प पhoसपhoरuस
स सuलफuर
cल chलoरiनe
अर अरgoन
क पoटaससiuम
ca caलciuम
सc सcaनडiuम
टi टiटaनiuम
व वaनaडiuम
cर chरoमiuम
मन मaनgaनeसe
फe iरoन
co coबaलट
नi नicकeल
cu coपपeर
जन जiनc
zava8.github.io - ztr8
बeटi बchao बeटi पडडao uसe मaतरa नहi 8वoवeलस सiकhao.
///////////////////guz

હ હયડરogeન
હe હeલiuમ
લi લiટhiuમ
બe બeરયલલiuમ
બ બoરoન
c caરબoન
ન નiટરogeન
o oxયgeન
ફ ફલuoરiનe
નe નeoન
નa સoડiuમ
મg મagનeસiuમ
અલ અલuમiનuમ
સi સiલicoન
પ પhoસપhoરuસ
સ સuલપhuર
cલ chલoરiનe
અર અરgoન
ક પoટaસસiuમ
ca caલciuમ
સc સcaનડiuમ
ટi ટiટaનiuમ
વ વaનaડiuમ
cર chરoમiuમ
મન મaનgaનeસe
ફe iરoન
co coબaલટ
નi નicકeલ
cu coપપeર
જન જiનc

////pnz

ਹ ਹਯਡਰogeਨ
ਹe ਹeਲiuਮ
ਲi ਲiਟhiuਮ
ਬe ਬeਰਯਲਲiuਮ
ਬ ਬoਰoਨ
c caਰਬoਨ
ਨ ਨiਟਰogeਨ
o oxਯgeਨ
ਫ ਫਲuoਰiਨe
ਨe ਨeoਨ
ਨa ਸoਡiuਮ
ਮg ਮagਨeਸiuਮ
ਅਲ ਅਲuਮiਨuਮ
ਸi ਸiਲicoਨ
ਪ ਪhoਸਪhoਰuਸ
ਸ ਸuਲਫuਰ
cਲ chਲoਰiਨe
ਅਰ ਅਰgoਨ
ਕ ਪoਟaਸਸiuਮ
ca caਲciuਮ
ਸc ਸcaਨਡiuਮ
ਟi ਟiਟaਨiuਮ
ਵ ਵaਨaਡiuਮ
cਰ chਰoਮiuਮ
ਮਨ ਮaਨgaਨeਸe
ਫe iਰoਨ
co coਬaਲਟ
ਨi ਨicਕeਲ
cu coਪਪeਰ
ਜਨ ਜiਨc
---------------
হ হযডরogeন
হe হeলiuম
লi লiটhiuম
বe বeরযললiuম
ব বoরoন
c caরবoন
ন নiটরogeন
o oxযgeন
ফ ফলuoরiনe
নe নeoন
নa সoডiuম
মg মagনeসiuম
অল অলuমiনuম
সi সiলicoন
প পhoসপhoরuস
স সuলপhuর
cল chলoরiনe
অর অরgoন
ক পoটaসসiuম
ca caলciuম
সc সcaনডiuম
টi টiটaনiuম
v vaনaডiuম
cর chরoমiuম
মন মaনgaনeসe
ফ iরoন
co coবaলট
নi নicকeল
cu coপপeর
জন জiনc
